,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr
0,Fusion,2,2,2,WV,"{'ENS:size': 2, 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'simple'}",1.3289387226104736,0.7732385261797026,0.7440758293838863,0.6619492656875835,0.7732385261797028,0.7732385261797028
1,Model,2,2,53,SGD,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'smote', 'Us:algorithm': 'NOOS', 'algorithm': 'SGD', 'Ovs:smote:k_neighbors': 5, 'Ovs:smote:random_state': 153, 'Ovs:smote:sampling_strategy': 'not majority', 'SGD:alpha': 0.0001638322507954253, 'SGD:average': False, 'SGD:epsilon': 0.0003839055700823472, 'SGD:learning_rate': 'adaptive', 'SGD:loss': 'modified_huber', 'SGD:penalty': 'l2', 'SGD:power_t': 0.0511406365432101, 'SGD:tol': 0.009105748091811763, 'SGD:eta0': 0.00040735381704506296}",1.5636816024780273,0.6593622064210299,0.8175355450236966,0.6563772299948183,0.6593622064210299,0.6593622064210299
2,Model,2,2,69,KNN_CLASS,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'RANDOM_OVER_SAMPLING', 'Us:algorithm': 'NOOS', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 35, 'KNN_CLASS:p': 1, 'KNN_CLASS:weights': 'distance', 'Ovs:RANDOM_OVER_SAMPLING:random_state': 141, 'Ovs:RANDOM_OVER_SAMPLING:sampling_strategy': 'minority'}",1.5509729385375977,0.7732385261797026,0.7440758293838863,0.6619492656875835,0.7732385261797028,0.7732385261797028
