,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr
0,Fusion,2,2,1,MAMV,"{'ENS:size': 2, 'algorithm': 'MAMV'}",1.9167709350585938,0.9287332165478036,0.9050228310502283,0.6799562468402308,0.9478941851880189,0.9392443648307269
1,Model,2,2,41,RF,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'smote', 'Us:algorithm': 'NOOS', 'algorithm': 'RF', 'Ovs:smote:k_neighbors': 5, 'Ovs:smote:random_state': 181, 'Ovs:smote:sampling_strategy': 'not majority', 'RF:bootstrap': False, 'RF:ccp_alpha': 0.00020641217480302644, 'RF:criterion': 'gini', 'RF:max_features': 0.438611279606303, 'RF:min_samples_leaf': 8, 'RF:min_samples_split': 6, 'RF:n_estimators': 63}",57.922931432724,0.907585680324855,0.9525114155251142,0.7764812565247345,0.9366352426974675,0.9515203698227942
2,Model,2,2,88,XT,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'smote', 'Us:algorithm': 'NOOS', 'algorithm': 'XT', 'Ovs:smote:k_neighbors': 5, 'Ovs:smote:random_state': 162, 'Ovs:smote:sampling_strategy': 'not majority', 'XT:bootstrap': False, 'XT:ccp_alpha': 0.00016370667680553486, 'XT:criterion': 'entropy', 'XT:max_depth_fraction': 0.5993464222125151, 'XT:max_features': 0.8485155544124694, 'XT:min_samples_leaf': 3, 'XT:min_samples_split': 4, 'XT:n_estimators': 116}",10.293725490570068,0.9006592976516459,0.9168949771689497,0.6854727055300491,0.9332754427633491,0.929392124049042
