,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr
0,Fusion,5,5,3,MLE,"{'ENS:size': 5, 'algorithm': 'MLE'}",7.4027931690216064,0.7441385689557483,0.8437685020722321,0.7298505674942793,0.8287220635274957,0.8725329774735937
1,Model,5,5,11,MLP,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'ENC', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'MLP', 'Enc:ENC:encoder': 'one-hot', 'MLP:activation': 'relu', 'MLP:alpha': 0.000973293543538092, 'MLP:n_hidden_layers': 2, 'MLP:n_neurons_layer': 131, 'MLP:solver': 'adam', 'MLP:tol': 3.8305520121520547e-05, 'MLP:beta_1': 0.9, 'MLP:beta_2': 0.999, 'MLP:epsilon': 1e-08, 'MLP:learning_rate_init': 0.00011673393722256572}",424.2036497592926,0.6331243995537873,0.8337773830669035,0.6464801640805913,0.750953814945074,0.8144076303779686
2,Model,5,5,20,GB,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'ENC', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 4.482566443228712e-05, 'GB:learning_rate': 0.3570447829283072, 'GB:min_samples_leaf': 122}",167.80710291862488,0.6842874613654253,0.8550177619893428,0.7021218057638411,0.7880468032937613,0.8468331960102623
3,Model,5,5,86,GB,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'ENC', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 1.3194860528923806e-08, 'GB:learning_rate': 0.2096384669746309, 'GB:min_samples_leaf': 85}",176.35924530029297,0.6626877372352779,0.8508732978093546,0.6791799675852626,0.773176025913453,0.8365801706761494
4,Model,5,5,73,MLP,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'ENC', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'MLP', 'Enc:ENC:encoder': 'one-hot', 'MLP:activation': 'relu', 'MLP:alpha': 0.003649942019679972, 'MLP:n_hidden_layers': 2, 'MLP:n_neurons_layer': 192, 'MLP:solver': 'adam', 'MLP:tol': 0.00021710708113395166, 'MLP:beta_1': 0.9, 'MLP:beta_2': 0.999, 'MLP:epsilon': 1e-08, 'MLP:learning_rate_init': 0.005387680370328224}",214.54158973693848,0.6861687910980038,0.8489490822972173,0.7025794136152147,0.787746731129042,0.8432812175532379
5,Model,5,5,15,GB,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'ENC', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Us:algorithm': 'NOOS', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 2.78566645469567e-10, 'GB:learning_rate': 0.49851306372752885, 'GB:min_samples_leaf': 42}",166.27731156349182,0.6970881790583096,0.8580521018354056,0.7149291380189186,0.7967324732856484,0.8524905715989094
