,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr
0,1,MAMV,"{'ENS:size': 5, 'algorithm': 'MAMV'}",2.460099220275879,0.9786161360793416,0.9785,0.9786233539621503,0.9866012005694524,0.9865503285307144
1,2,WV,"{'ENS:size': 5, 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'simple'}",1.7902824878692627,0.9800992105208237,0.98,0.9801162642385371,0.9875312202615527,0.9874849405384694
2,3,MLE,"{'ENS:size': 5, 'algorithm': 'MLE'}",3.8772265911102295,0.9746704306476403,0.9745,0.9745852947970388,0.9841198707709993,0.9840455134746394
