,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr
0,Fusion,5,5,2,WV,"{'ENS:size': 5, 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'simple'}",1.3402066230773926,0.5018085069079178,0.6346938775510204,0.4783379437707511,0.7238317780195934,0.7345514141945
1,Model,5,5,55,XT,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'smote', 'Us:algorithm': 'NOOS', 'algorithm': 'XT', 'Ovs:smote:k_neighbors': 2, 'Ovs:smote:random_state': 122, 'Ovs:smote:sampling_strategy': 'not majority', 'XT:bootstrap': False, 'XT:ccp_alpha': 0.0008636113461076233, 'XT:criterion': 'entropy', 'XT:max_depth_fraction': 1.5248775524617626, 'XT:max_features': 0.6046177027767359, 'XT:min_samples_leaf': 4, 'XT:min_samples_split': 5, 'XT:n_estimators': 93}",15.157240867614746,0.4365947503650007,0.5316326530612245,0.37067821670876083,0.6822610312534438,0.6883768909263587
2,Model,5,5,44,KNN_CLASS,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'RANDOM_OVER_SAMPLING', 'Us:algorithm': 'NOOS', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 41, 'KNN_CLASS:p': 1, 'KNN_CLASS:weights': 'distance', 'Ovs:RANDOM_OVER_SAMPLING:random_state': 310, 'Ovs:RANDOM_OVER_SAMPLING:sampling_strategy': 'not majority'}",1.6740632057189941,0.45575736855191934,0.47959183673469385,0.321351968433504,0.6900863898634385,0.6853935485093442
3,Model,5,5,61,SVM,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'RANDOM_OVER_SAMPLING', 'Us:algorithm': 'NOOS', 'algorithm': 'SVM', 'Ovs:RANDOM_OVER_SAMPLING:random_state': 138, 'Ovs:RANDOM_OVER_SAMPLING:sampling_strategy': 'all', 'SVM:C': 8.401168112540777, 'SVM:gamma': 0.411494306379702, 'SVM:kernel': 'rbf', 'SVM:tol': 0.003472636410788831}",44.128098487854004,0.33770178643153603,0.6153061224489796,0.3771322475659294,0.6380942967278737,0.6676156532746226
4,Model,5,5,33,RF,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'RANDOM_OVER_SAMPLING', 'Us:algorithm': 'NOOS', 'algorithm': 'RF', 'Ovs:RANDOM_OVER_SAMPLING:random_state': 88, 'Ovs:RANDOM_OVER_SAMPLING:sampling_strategy': 'not majority', 'RF:bootstrap': False, 'RF:ccp_alpha': 0.00021094009922783752, 'RF:criterion': 'entropy', 'RF:max_features': 0.9312885351957353, 'RF:min_samples_leaf': 6, 'RF:min_samples_split': 6, 'RF:n_estimators': 81}",55.91380190849304,0.4732871264719571,0.6061224489795919,0.4389348974892942,0.6952658501226839,0.7102071649349743
5,Model,5,5,3,RF,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'tomek_links', 'Us:algorithm': 'NOOS', 'algorithm': 'RF', 'Ovs:tomek_links:sampling_strategy': 'majority', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.0008369892231309311, 'RF:criterion': 'gini', 'RF:max_features': 0.5655307399289462, 'RF:min_samples_leaf': 2, 'RF:min_samples_split': 9, 'RF:n_estimators': 137}",20.901562452316284,0.317316256399467,0.6357142857142857,0.33958300845559897,0.6445094843218561,0.7089882932226748
