,size,true size,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr,doublefault_norm,doublefault,correlation_norm,disagreement,yulesq
0,2,2,2,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 2, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.3669734001159668,0.8288557213930348,0.9862745098039216,0.7906281156530408,0.8288557213930349,0.8288557213930349,0.994,0.006,0.2,0.008,0.995
1,5,5,2,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.478567123413086,0.8950248756218906,0.9872549019607844,0.8210791920227767,0.8950248756218906,0.8950248756218906,0.996,0.004,0.183,0.006,0.998
2,10,10,2,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.6701300144195557,0.9850746268656716,0.9705882352941176,0.7424242424242424,0.9850746268656716,0.9850746268656716,0.996,0.004,0.247,0.01,0.977
3,15,15,2,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 15, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.8647427558898926,0.8905472636815921,0.9784313725490196,0.7553530155684445,0.8905472636815921,0.8905472636815921,0.996,0.004,0.208,0.008,0.965
4,20,20,2,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 20, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",2.0728819370269775,0.890049751243781,0.9774509803921568,0.7495489532512731,0.8900497512437812,0.8900497512437812,0.996,0.004,0.182,0.006,0.967
