,size,true size,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr,doublefault_norm,doublefault,correlation_norm,disagreement,yulesq
0,2,2,2,WV,"{'ENS:size': 2, 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'simple'}",2.267096519470215,0.9661790655237414,0.9712752067314667,0.9649035113614974,0.9661790655237416,0.9661790655237416,0.976,0.024,0.145,0.019,0.994
1,5,5,3,MLE,"{'ENS:size': 5, 'algorithm': 'MLE'}",4.373924493789673,0.9669418018275966,0.9690990860293051,0.962497648454519,0.9669418018275967,0.9669418018275967,0.978,0.022,0.236,0.039,0.966
2,10,10,3,MLE,"{'ENS:size': 10, 'algorithm': 'MLE'}",5.5661780834198,0.9642506680517972,0.9659074423328013,0.9587214722321117,0.9642506680517972,0.9642506680517972,0.975,0.025,0.216,0.037,0.972
3,15,15,3,MLE,"{'ENS:size': 15, 'algorithm': 'MLE'}",6.7592995166778564,0.9637429507487915,0.9651820687654142,0.9578740524004496,0.9637429507487916,0.9637429507487916,0.974,0.026,0.218,0.038,0.97
4,20,20,2,WV,"{'ENS:size': 20, 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'simple'}",3.208756923675537,0.9612034359542858,0.9641665457710721,0.9565370247623963,0.9612034359542858,0.9612034359542858,0.972,0.028,0.212,0.039,0.971
