,m1 rid,m1 algorithm,m1 configuration,m2 rid,m2 algorithm,m2 configuration,m2 runtime,doublefault_norm,doublefault,correlation_norm,disagreement,yulesq
0,78,LDA,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'LDA', 'LDA:solver': 'svd', 'Shared:feature_importance:max_param_fraction': 0.36319639151108574, 'LDA:tol': 0.0062256628435433566}",9,SVM,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'PCA', 'algorithm': 'SVM', 'SVM:C': 7.444123829445501, 'SVM:gamma': 0.01691836521183083, 'SVM:kernel': 'poly', 'SVM:tol': 0.014128947996841047, 'Shared:PCA:n_components': 0.6901312054707085, 'Shared:PCA:whiten': False, 'SVM:coef0': 0.6706306387834489, 'SVM:degree': 3}",87.62755727767944,0.9825,0.0175,0.40655097293729836,0.108,0.6807380256167374
1,78,LDA,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'LDA', 'LDA:solver': 'svd', 'Shared:feature_importance:max_param_fraction': 0.36319639151108574, 'LDA:tol': 0.0062256628435433566}",74,LDA,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'LDA', 'LDA:solver': 'lsqr', 'Shared:feature_importance:max_param_fraction': 0.8193335981234953, 'LDA:shrinkage': 'auto'}",416.47410893440247,0.961,0.039,0.1908438793609193,0.0445,0.975543027690267
2,78,LDA,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'LDA', 'LDA:solver': 'svd', 'Shared:feature_importance:max_param_fraction': 0.36319639151108574, 'LDA:tol': 0.0062256628435433566}",66,MLP,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'MLP', 'MLP:activation': 'logistic', 'MLP:alpha': 3.470150493203093e-05, 'MLP:n_hidden_layers': 1, 'MLP:n_neurons_layer': 161, 'MLP:solver': 'lbfgs', 'MLP:tol': 0.0006544620296031681, 'Shared:feature_importance:max_param_fraction': 0.2865326743328317}",485.91986894607544,0.987,0.013,0.4053048894394945,0.0875,0.7362931066483537
3,78,LDA,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'LDA', 'LDA:solver': 'svd', 'Shared:feature_importance:max_param_fraction': 0.36319639151108574, 'LDA:tol': 0.0062256628435433566}",27,KNN_CLASS,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 8, 'KNN_CLASS:p': 2, 'KNN_CLASS:weights': 'distance', 'Shared:feature_importance:max_param_fraction': 0.49129398071968144}",395.60181283950806,0.986,0.014,0.382010189690584,0.0785,0.8133162063797902
4,9,SVM,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'PCA', 'algorithm': 'SVM', 'SVM:C': 7.444123829445501, 'SVM:gamma': 0.01691836521183083, 'SVM:kernel': 'poly', 'SVM:tol': 0.014128947996841047, 'Shared:PCA:n_components': 0.6901312054707085, 'Shared:PCA:whiten': False, 'SVM:coef0': 0.6706306387834489, 'SVM:degree': 3}",74,LDA,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'LDA', 'LDA:solver': 'lsqr', 'Shared:feature_importance:max_param_fraction': 0.8193335981234953, 'LDA:shrinkage': 'auto'}",416.47410893440247,0.9845,0.0155,0.4033082122724142,0.0975,0.7164169787765294
5,9,SVM,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'PCA', 'algorithm': 'SVM', 'SVM:C': 7.444123829445501, 'SVM:gamma': 0.01691836521183083, 'SVM:kernel': 'poly', 'SVM:tol': 0.014128947996841047, 'Shared:PCA:n_components': 0.6901312054707085, 'Shared:PCA:whiten': False, 'SVM:coef0': 0.6706306387834489, 'SVM:degree': 3}",66,MLP,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'MLP', 'MLP:activation': 'logistic', 'MLP:alpha': 3.470150493203093e-05, 'MLP:n_hidden_layers': 1, 'MLP:n_neurons_layer': 161, 'MLP:solver': 'lbfgs', 'MLP:tol': 0.0006544620296031681, 'Shared:feature_importance:max_param_fraction': 0.2865326743328317}",485.91986894607544,0.9835,0.0165,0.3792356096635865,0.08650000000000001,0.7990701066642355
6,9,SVM,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'PCA', 'algorithm': 'SVM', 'SVM:C': 7.444123829445501, 'SVM:gamma': 0.01691836521183083, 'SVM:kernel': 'poly', 'SVM:tol': 0.014128947996841047, 'Shared:PCA:n_components': 0.6901312054707085, 'Shared:PCA:whiten': False, 'SVM:coef0': 0.6706306387834489, 'SVM:degree': 3}",27,KNN_CLASS,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 8, 'KNN_CLASS:p': 2, 'KNN_CLASS:weights': 'distance', 'Shared:feature_importance:max_param_fraction': 0.49129398071968144}",395.60181283950806,0.985,0.015,0.37880653199151737,0.08249999999999999,0.816382664698779
7,74,LDA,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'LDA', 'LDA:solver': 'lsqr', 'Shared:feature_importance:max_param_fraction': 0.8193335981234953, 'LDA:shrinkage': 'auto'}",66,MLP,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'MLP', 'MLP:activation': 'logistic', 'MLP:alpha': 3.470150493203093e-05, 'MLP:n_hidden_layers': 1, 'MLP:n_neurons_layer': 161, 'MLP:solver': 'lbfgs', 'MLP:tol': 0.0006544620296031681, 'Shared:feature_importance:max_param_fraction': 0.2865326743328317}",485.91986894607544,0.99,0.01,0.4192178341149869,0.079,0.7107981220657278
8,74,LDA,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'LDA', 'LDA:solver': 'lsqr', 'Shared:feature_importance:max_param_fraction': 0.8193335981234953, 'LDA:shrinkage': 'auto'}",27,KNN_CLASS,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 8, 'KNN_CLASS:p': 2, 'KNN_CLASS:weights': 'distance', 'Shared:feature_importance:max_param_fraction': 0.49129398071968144}",395.60181283950806,0.99,0.01,0.408038492837296,0.072,0.7633499807913945
9,66,MLP,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'MLP', 'MLP:activation': 'logistic', 'MLP:alpha': 3.470150493203093e-05, 'MLP:n_hidden_layers': 1, 'MLP:n_neurons_layer': 161, 'MLP:solver': 'lbfgs', 'MLP:tol': 0.0006544620296031681, 'Shared:feature_importance:max_param_fraction': 0.2865326743328317}",27,KNN_CLASS,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'KNN_CLASS', 'KNN_CLASS:n_neighbors': 8, 'KNN_CLASS:p': 2, 'KNN_CLASS:weights': 'distance', 'Shared:feature_importance:max_param_fraction': 0.49129398071968144}",395.60181283950806,0.9925,0.0075,0.4269599114476419,0.068,0.7168059424326834
