task_id,accuracy,balanced_accuracy,f1_macro,jaccard_macro,jaccard_micro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo,roc_auc_ovr,runtime
23,0.5457627118644067,0.5430852274574838,0.5338652141669585,0.36903189079786797,0.3752913752913753,0.5457627118644067,0.53689244583252,[0.70642202 0.5        0.40425532],0.5457627118644067,0.5430852274574839,[0.61111111 0.45098039 0.56716418],0.739872455339239,0.7396823692090034,562.989200992
30,0.9378995433789954,0.9047533855070677,0.7557340966330879,0.6267029058925451,0.883061049011178,0.9378995433789954,0.6689724451377952,[0.69565217 0.99568501 0.5        0.70454545 0.44897959],0.9378995433789954,0.9047533855070677,[0.88888889 0.93896236 0.8        0.93939394 0.95652174],-1,-1,876.616197109
554,0.9271428571428572,0.9261404438815569,0.9268329152408444,0.8644923036235712,0.8641810918774967,0.9271428571428572,0.9286522551606952,"[0.95382286 0.95639535 0.9200571  0.93063584 0.86861811 0.88895249
 0.95166163 0.9229584  0.95174825 0.94167252]",0.9271428571428572,0.9261404438815569,"[0.90128755 0.95709091 0.90266106 0.89231987 0.91732566 0.98603175
 0.92307692 0.87765568 0.98551774 0.91843729]",-1,-1,5643.647929653
1005,0.813953488372093,0.7797619047619048,0.7881773399014778,0.6565656565656566,0.6862745098039216,0.813953488372093,0.8012820512820513,[0.83333333 0.76923077],0.813953488372093,0.7797619047619048,[0.89285714 0.66666667],-1,-1,233.531016399
1067,0.6753554502369669,0.6948717948717948,0.5917176895969718,0.4450507246376812,0.5098389982110912,0.6753554502369669,0.606410015060241,[0.9296875  0.28313253],0.6753554502369669,0.6948717948717948,[0.66666667 0.72307692],-1,-1,663.431471148
1461,0.8664160123852703,0.8575326729110466,0.758500541541657,0.6386626300740159,0.7643156765193639,0.8664160123852703,0.7191960780329496,[0.46134021 0.97705195],0.8664160123852703,0.8575326729110466,[0.84593573 0.86912962],0.856352980205684,0.8641336603485033,2200.977935311
1486,0.9682286377484405,0.9622179422808198,0.9611635486415191,0.925720481683167,0.938413948256468,0.9682286377484405,0.9601250316239429,[0.97922184 0.94102823],0.9682286377484405,0.9622179422808198,[0.97623883 0.94819705],0.9715653561584215,0.9671441151825678,3058.893994628
1494,0.8672985781990521,0.8583501006036217,0.8533849513599364,0.7469751966122202,0.7656903765690377,0.8672985781990521,0.8492156862745097,[0.91176471 0.78666667],0.8672985781990521,0.8583501006036217,[0.88571429 0.83098592],-1,-1,702.035473793
4134,0.7989347536617842,0.7958223815781955,0.7967421677417967,0.6626659401624728,0.6651884700665188,0.7989347536617842,0.7983153027269192,[0.79331307 0.80331754],0.7989347536617842,0.7958223815781955,[0.75872093 0.83292383],-1,-1,2226.964755387
40498,0.5479591836734694,0.4255017564664104,0.38108985437834847,0.2541732649431315,0.3773717498243148,0.5479591836734694,0.3762981159077005,"[0.49773756 0.56410256 0.54166667 0.         0.65256798 0.25301205
 0.125     ]",0.5479591836734694,0.42550175646641036,"[0.625      0.604811   0.37142857 0.         0.49090909 0.63636364
 0.25      ]",0.8158198521964378,0.8204854006365366,961.276448338
40668,0.823194197750148,0.7652986472171551,0.7270139228824161,0.6000067436593117,0.6995157537261807,0.823194197750148,0.7086383830389967,[0.77829099 0.39455782 0.95306633],0.823194197750148,0.7652986472171551,[0.81033965 0.62945736 0.85609893],-1,-1,5138.372612976
40900,0.9725490196078431,0.9203980099502488,0.7336913953228152,0.6446339041344733,0.9465648854961832,0.9725490196078431,0.6656472986748216,[0.33333333 0.99796126],0.9725490196078431,0.9203980099502488,[0.86666667 0.97412935],0.31575456053067996,0.31575456053067996,1272.500682631
40926,0.4385,0.43854758631318164,0.42577043518438523,0.2766063320860838,0.2808197246237592,0.4385,0.4273088255523646,"[0.49190283 0.38636364 0.50271739 0.39845758 0.42471042 0.43262411
 0.49473684 0.33497537 0.28888889 0.51771117]",0.4385,0.4385475863131815,"[0.6        0.35142119 0.46835443 0.3875     0.55555556 0.60098522
 0.58603491 0.16707617 0.19354839 0.475     ]",0.8384007776167184,0.8383355286822622,4695.172924836
40978,0.9832317073170732,0.9538621646623496,0.9644193740847209,0.9324898785425101,0.967016491754123,0.9832317073170732,0.9757287437125023,[0.98594025 0.96551724],0.9832317073170732,0.9538621646623496,[0.99468085 0.91304348],-1,-1,2521.780827472
40981,0.855072463768116,0.8582073664040877,0.8543074324324325,0.7458172458172458,0.7468354430379747,0.855072463768116,0.8536892999789784,[0.80597015 0.90140845],0.855072463768116,0.8582073664040877,[0.8852459  0.83116883],-1,-1,406.804512551
40983,0.9721074380165289,0.9580534094726234,0.884545554942021,0.8076785407479525,0.9457286432160804,0.9721074380165289,0.8339404607025331,[0.99664804 0.67123288],0.9721074380165289,0.9580534094726234,[0.97379913 0.94230769],-1,-1,376.782803566
40984,0.9372294372294372,0.9372294372294372,0.9376581627308818,0.887741464072519,0.8818737270875764,0.9372294372294372,0.9397965512327572,"[0.96551724 0.80821918 0.88059701 0.93939394 1.         0.98484848
 1.        ]",0.9372294372294372,0.9372294372294372,"[0.84848485 0.89393939 0.89393939 0.93939394 1.         0.98484848
 1.        ]",0.9958568367659277,0.9958568367659276,773.516632406
40996,0.8611428571428571,0.8611428571428572,0.8590689283592567,0.7666029502615412,0.7561465127947817,0.8611428571428571,0.8596405798079376,"[0.81118881 0.77870564 0.93557423 0.9480894  0.98962963 0.6981982
 0.95610827 0.90657439 0.7837658  0.78857143]",0.8611428571428571,0.8611428571428572,"[0.91142857 0.79928571 0.95428571 0.93928571 0.95428571 0.55357143
 0.93357143 0.93571429 0.84142857 0.78857143]",-1,-1,5587.56410978
41145,0.7720651242502142,0.7720708310815574,0.7720569229865477,0.6287420134019012,0.6287508722958828,0.7720651242502142,0.7721155879864636,[0.76818951 0.77604167],0.7720651242502142,0.7720708310815574,[0.7787307  0.76541096],-1,-1,1798.201380845
41163,0.9815,0.981475404056219,0.9816156623212413,0.963986939001777,0.9636720667648503,0.9815,0.9819385052519121,[0.98765432 0.98205128 1.         0.96226415 0.97772277],0.9815,0.981475404056219,[0.97799511 0.96231156 0.98691099 0.99512195 0.98503741],0.9996370611529445,0.9996327937773651,3677.545699468
