task_id,accuracy,balanced_accuracy,f1_macro,jaccard_macro,jaccard_micro,precision_micro,precision_macro,precision,recall_micro,recall_macro,recall,roc_auc_ovo,roc_auc_ovr,runtime
23,0.576271186440678,0.5872574568799327,0.5723050636010888,0.4025784513589392,0.40476190476190477,0.576271186440678,0.5892255892255892,[0.53571429 0.43434343 0.79761905],0.576271186440678,0.5872574568799327,[0.58823529 0.64179104 0.53174603],-1,-1,559.425010244
30,0.9534246575342465,0.9342742297583291,0.8435328568780314,0.7567044657470189,0.9109947643979057,0.9534246575342465,0.7954083794857365,[1.         0.83561644 0.9957672  0.71428571 0.43137255],0.9534246575342465,0.9342742297583291,[1.         0.92424242 0.95727365 0.83333333 0.95652174],-1,-1,378.760988586
554,0.9480714285714286,0.9475863200058703,0.9477105403584641,0.9010778705846402,0.9012697766008012,0.9480714285714286,0.9480355649025096,"[0.92101551 0.91715116 0.95802469 0.94492754 0.95885287 0.96251768
 0.96524823 0.93943662 0.96516691 0.94801444]",0.9480714285714286,0.9475863200058701,"[0.93889288 0.92454212 0.9216152  0.95531136 0.97650794 0.98551774
 0.93283071 0.93417367 0.96727273 0.93919886]",-1,-1,4590.998419707
1005,0.8837209302325582,0.8952380952380952,0.8770726129216695,0.7822141560798548,0.7916666666666666,0.8837209302325582,0.8688888888888888,[0.77777778 0.96      ],0.8837209302325582,0.8952380952380952,[0.93333333 0.85714286],0.6309523809523809,0.6309523809523809,202.768392685
1067,0.6350710900473934,0.7088127558715793,0.5719968387776606,0.41934723695063036,0.4652777777777778,0.6350710900473934,0.6094657178357619,[0.94713656 0.27179487],0.6350710900473934,0.7088127558715793,[0.6022409  0.81538462],0.3867269984917044,0.3867269984917044,777.949034642
1461,0.865310184673228,0.8646959741386555,0.7595736386052165,0.6394357564940752,0.7625962381834129,0.865310184673228,0.7196737476595932,[0.97958894 0.45975855],0.865310184673228,0.8646959741386555,[0.86549781 0.86389414],0.313329340339223,0.313329340339223,2733.476835144
1486,0.9727259538662412,0.9693279957951002,0.9667661446364271,0.9360294089380106,0.9469001553452903,0.9727259538662412,0.9642956846835449,[0.94413965 0.98445172],0.9727259538662412,0.9693279957951002,[0.96140173 0.97725426],0.5558035207784016,0.5558035207784016,3111.040134965
1494,0.8578199052132701,0.8269114688128772,0.8359763681592038,0.722733548090198,0.7510373443983402,0.8578199052132701,0.8485092235092235,[0.87162162 0.82539683],0.8578199052132701,0.8269114688128772,[0.92142857 0.73239437],0.34527162977867204,0.34527162977867204,835.283159448
4134,0.796271637816245,0.7931403919776012,0.794050011023145,0.6589654951351938,0.661504424778761,0.796271637816245,0.7956107117647906,[0.80094787 0.79027356],0.796271637816245,0.7931403919776012,[0.83046683 0.75581395],0.5673104394034627,0.5673104394034627,1814.212171096
40498,0.6224489795918368,0.43773183125171344,0.4098210216716814,0.29042655593509975,0.45185185185185184,0.6224489795918368,0.40411322865403104,"[0.         0.52419355 0.67132867 0.36666667 0.         0.71104816
 0.55555556]",0.6224489795918368,0.4377318312517134,"[0.         0.73863636 0.65979381 0.66666667 0.         0.57045455
 0.42857143]",-1,-1,1302.799105188
40668,0.7669478981645944,0.6961962557676401,0.6614190510541769,0.5232472454098064,0.6219914771022148,0.7669478981645944,0.646528554588099,[0.69332211 0.91954023 0.32672332],0.7669478981645944,0.6961962557676401,[0.74271115 0.80944351 0.53643411],-1,-1,5416.894196899
40900,0.9725490196078431,0.8875621890547264,0.7237269772481041,0.6361111111111111,0.9465648854961832,0.9725490196078431,0.660636221165214,[0.99694812 0.32432432],0.9725490196078431,0.8875621890547264,[0.97512438 0.8       ],0.4793366500829188,0.4793366500829188,1023.003341286
40926,0.46,0.46006477995336165,0.45157685304698847,0.2972748352729274,0.2987012987012987,0.46,0.4550699633017098,"[0.38700565 0.40384615 0.45867769 0.40772532 0.50995025 0.55820896
 0.56866953 0.32885906 0.51422319 0.41353383]",0.46,0.46006477995336165,"[0.35400517 0.56896552 0.56060606 0.23341523 0.51122195 0.4675
 0.65432099 0.24317618 0.59493671 0.4125    ]",-1,-1,5399.512661761
