dataset,algo,time_budget,c_budget,ens_size,beta,tau,runtime,true_ens_size,doublefault,doublefault_norm,yules_q,yules_q_norm,correlation,correlation_norm,disagreement,f1_macro,roc_auc_ovr,roc_auc_ovo,accuracy,balanced_accuracy
40668,bo_div,600,3600,25,0.025,0.2,9322.567405905,4,0.11915334517465954,0.8808466548253403,0.7236687285746126,0.1381656357126937,0.4110028517223187,0.2944985741388406,0.2487048549437537,0.7065122691121433,0.9399184872228917,0.908469707294439,0.8496891651865008,0.6876922653296175
40668,bo_div,600,3600,25,0.025,0.2,3691.019353726,3,0.12277975133214919,0.8772202486678508,0.5144399812204329,0.2427800093897835,0.23432165710149241,0.3828391714492538,0.3537102822182751,0.7085580730239638,0.9270766464023198,0.8933160800337474,0.8378478389579633,0.7026627013931277
40668,bo_div,600,3600,25,0.025,0.2,3661.693313806,5,0.11154529307282417,0.8884547069271758,0.8808352828078982,0.059582358596050856,0.5473394831518159,0.22633025842409205,0.15876258140911784,0.7228727467567273,0.9537569454038194,0.9239807361404826,0.8618265245707519,0.7060033727598655
40668,bo_div,600,3600,25,0.025,0.2,3617.20282689,1,,,,,,,,0.5768926411555508,0.9013512485802693,0.8671369790683137,0.7945529899348727,0.5677476290799022
40900,bo_div,600,3600,25,0.025,0.2,3628.022221734,17,0.005658881199538628,0.9943411188004632,0.9815288702202575,0.00923556488987106,0.4933611381539786,0.2533194309230107,0.013711072664359836,0.8582630272952854,0.799502487562189,0.799502487562189,0.9931372549019608,0.799502487562189
40900,bo_div,600,3600,25,0.025,0.2,3677.048309915,15,0.007413632119514461,0.9925863678804856,0.9891606890603024,0.0054196554698488515,0.6063841312721531,0.19680793436392335,0.010793650793650784,0.8582630272952854,0.799502487562189,0.799502487562189,0.9931372549019608,0.799502487562189
40900,bo_div,600,3600,25,0.025,0.2,3626.192006086,17,0.007057381776239893,0.992942618223762,0.9949669060390991,0.0025165469804501813,0.6441893263134458,0.17790533684327697,0.008030565167243355,0.8460908365846824,0.7666666666666666,0.7666666666666666,0.9931372549019608,0.7666666666666666
40900,bo_div,600,3600,25,0.025,0.2,3603.823823118,5,0.006176470588235294,0.9938235294117648,0.9040927805799701,0.04795360971001491,0.309948197740373,0.34502590112981346,0.032745098039215687,0.8300849575212393,0.927860696517413,0.927860696517413,0.9872549019607844,0.927860696517413
40900,bo_div,600,3600,25,0.025,0.2,3840.069801369,21,0.004827264239028933,0.995172735760974,0.98629667976011,0.006851660119944905,0.5320439300356163,0.2339780349821918,0.008926237161531257,0.831097863884749,0.798507462686567,0.798507462686567,0.9911764705882353,0.7985074626865671
40926,bo_div,600,3600,25,0.025,0.2,12552.357993195,1,,,,,,,,0.4172325098429253,0.8315051709507697,0.8315111849712191,0.42325,0.42293885484197824
40926,bo_div,600,3600,25,0.025,0.2,49440.324508572,7,0.5164047619047618,0.4835952380952382,0.33037000198005817,0.3348149990099709,0.20183424749713902,0.3990828762514306,0.3400476190476191,0.4526901254388475,0.8513980074398723,0.8514663419869142,0.4665,0.4669978781143608
40926,bo_div,600,3600,25,0.025,0.2,77651.334189437,1,,,,,,,,0.38152806578053544,0.8209292596651687,0.8209652206651026,0.39875,0.3986930398852296
40926,bo_div,600,3600,25,0.025,0.2,3634.705868776,8,0.4714107142857143,0.5285892857142855,0.5612720028685467,0.21936399856572666,0.29821018638584135,0.3508949068070793,0.3284910714285714,0.4857345934797076,0.873354269936488,0.8733901985871358,0.4915,0.4915630491151384
