,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr
0,Fusion,10,10,2,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",13.678297519683838,0.7211187498845555,0.8324452338661931,0.7113496361470523,0.8117648937790258,0.8582164492304963
1,Model,10,10,34,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 1.5003427440003189e-05, 'GB:learning_rate': 0.06321362469119332, 'GB:min_samples_leaf': 106}",229.29802179336548,0.6130000375355319,0.826894612196566,0.6239614247765042,0.734272315136717,0.7974382787821023
2,Model,10,10,13,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 1.8440987466002508e-09, 'GB:learning_rate': 0.038522869393643765, 'GB:min_samples_leaf': 84}",196.6635138988495,0.5843157314792847,0.8120189461219657,0.5903019409751687,0.7110960034216598,0.7726693435893411
3,Model,10,10,31,MNB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MNB', 'Enc:ENC:encoder': 'one-hot', 'MNB:alpha': 1.3323687329821843, 'MNB:fit_prior': False}",15.097168922424316,0.5612049697829932,0.5469212551805802,0.4891218276914426,0.6766604760877709,0.6901717351798742
4,Model,10,10,20,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': False, 'RF:ccp_alpha': 0.00018564005582304843, 'RF:criterion': 'entropy', 'RF:max_features': 0.6962560656387271, 'RF:min_samples_leaf': 10, 'RF:min_samples_split': 10, 'RF:n_estimators': 19}",125.36737942695618,0.558872933910718,0.7992155121373594,0.5540167565420876,0.6927102872500813,0.7553301128601063
5,Model,10,10,11,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 8.654799113648205e-05, 'DTREE:criterion': 'gini', 'DTREE:max_depth_fraction': 1.8737850205429467, 'DTREE:min_samples_leaf': 4, 'DTREE:min_samples_split': 7, 'Enc:ENC:encoder': 'one-hot'}",24.044909238815308,0.5556667523583251,0.7707223208999407,0.5552809586992842,0.6906085552497991,0.7469929437313534
6,Model,10,10,1,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.0, 'RF:criterion': 'gini', 'RF:max_features': 0.5, 'RF:min_samples_leaf': 1, 'RF:min_samples_split': 2, 'RF:n_estimators': 50}",151.46762347221375,0.6450000665800886,0.8337773830669035,0.6619838275164587,0.7577536997021271,0.8171280626154924
7,Model,10,10,37,XT,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'XT', 'Enc:ENC:encoder': 'one-hot', 'XT:bootstrap': True, 'XT:ccp_alpha': 2.3830072410197745e-05, 'XT:criterion': 'gini', 'XT:max_depth_fraction': 1.2440112130765681, 'XT:max_features': 0.9119131155997021, 'XT:min_samples_leaf': 1, 'XT:min_samples_split': 5, 'XT:n_estimators': 28}",143.00011467933655,0.6454260699155997,0.8339994079336885,0.6637267687036483,0.7573901569188883,0.8153943309336086
8,Model,10,10,25,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 1.5481646655709492e-07, 'GB:learning_rate': 0.23505986156428454, 'GB:min_samples_leaf': 94}",161.66462683677673,0.6860888305530223,0.8559798697454115,0.7056402227159478,0.7886457293079011,0.8464105886454715
9,Model,10,10,19,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 1.8533666779865935e-10, 'GB:learning_rate': 0.2295289874059631, 'GB:min_samples_leaf': 161}",207.27596187591553,0.6795130407368494,0.8545737122557726,0.698596301182887,0.785096389652127,0.8444405847251448
10,Model,10,10,57,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 9.578393376861179e-05, 'GB:learning_rate': 0.276293788981713, 'GB:min_samples_leaf': 25}",160.64354014396667,0.6822391906558223,0.8552397868561279,0.6998152739378867,0.7865023552953075,0.8461405837362912
