,size,true size,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr,doublefault_norm,doublefault,correlation_norm,disagreement,yulesq
0,2,2,3,MLE,"{'ENS:size': 2, 'algorithm': 'MLE'}",2.81902813911438,0.9676100354202676,0.9675,0.9677045054280237,0.9797075592636049,0.9796339320673187,0.992,0.008,0.411,0.057,0.793
1,5,5,1,MAMV,"{'ENS:size': 5, 'algorithm': 'MAMV'}",2.595975160598755,0.9800174568918312,0.98,0.980094712832517,0.9874963406439645,0.9874743396794642,0.988,0.012,0.403,0.082,0.73
2,10,10,2,WV,"{'ENS:size': 10, 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'simple'}",2.045809030532837,0.9770059739237074,0.977,0.9770252276309688,0.985624489735737,0.9856179373296611,0.981,0.019,0.396,0.11,0.681
3,15,15,3,MLE,"{'ENS:size': 15, 'algorithm': 'MLE'}",7.657984495162964,0.9730888071099001,0.973,0.9729599516298497,0.9831581237555628,0.9831238748105938,0.973,0.027,0.383,0.126,0.681
4,20,20,3,MLE,"{'ENS:size': 20, 'algorithm': 'MLE'}",9.318144798278809,0.9656755044087045,0.9655,0.9655620376024834,0.9784940988997205,0.9784137053869292,0.965,0.035,0.365,0.133,0.698
