,size,true size,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr,doublefault_norm,doublefault,correlation_norm,disagreement,yulesq
0,2,2,2,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 2, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",2.7244997024536133,0.9745874602333517,0.9745,0.9745495598661729,0.9840887408792941,0.984045551096427,0.99,0.01,0.335,0.038,0.929
1,5,5,1,MAMV,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MAMV'}",2.4785561561584473,0.9795698631047168,0.9795,0.9795169871318146,0.987214677831559,0.9871896239708028,0.985,0.015,0.27,0.032,0.942
2,10,10,3,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 10, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'simple'}",1.8663275241851807,0.9740741933043424,0.974,0.9740216596288136,0.98377704370495,0.9837476791197914,0.98,0.02,0.261,0.04,0.947
3,15,15,3,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 15, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'simple'}",2.0106523036956787,0.9705415400870272,0.9705,0.9705159276013232,0.9815758511956326,0.9815564422728981,0.98,0.02,0.3,0.06,0.892
4,20,20,3,WV,"{'Div:algorithm': 'NODIV', 'ENS:size': 20, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'simple'}",2.0652194023132324,0.9720453183298625,0.972,0.9720104248037422,0.9825178190617715,0.9825016010874161,0.977,0.023,0.324,0.082,0.854
