,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr
0,1,MAMV,"{'ENS:size': 2, 'algorithm': 'MAMV'}",4.105607509613037,0.9583059662791134,0.9698244595966923,0.9626737646038286,0.9583059662791135,0.9583059662791135
1,2,WV,"{'ENS:size': 2, 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'simple'}",2.089496612548828,0.9657727369680907,0.9711301320179893,0.9647102565281382,0.9657727369680907,0.9657727369680907
2,3,MLE,"{'ENS:size': 2, 'algorithm': 'MLE'}",2.816162586212158,0.9675513720176959,0.9690990860293051,0.9625418598273554,0.967551372017696,0.967551372017696
