,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr
0,Fusion,5,5,2,MLE,"{'Div:algorithm': 'NODIV', 'ENS:size': 5, 'Enc:algorithm': 'NOEnc', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'MLE'}",1.5850415229797363,0.8746008090270385,0.8695652173913043,0.8691253951527925,0.8746008090270386,0.8746008090270386
1,Model,5,5,68,SVM,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'SVM', 'Enc:ENC:encoder': 'one-hot', 'SVM:C': 966.4029558904994, 'SVM:gamma': 0.0014034992977715922, 'SVM:kernel': 'poly', 'SVM:tol': 0.015036980020794222, 'SVM:coef0': 0.9623533890948106, 'SVM:degree': 4}",68.37119913101196,0.8370236321055993,0.8333333333333334,0.8326214206612879,0.8370236321055993,0.8370236321055993
2,Model,5,5,33,GNB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GNB', 'Enc:ENC:encoder': 'one-hot', 'GNB:var_smoothing': 8.568859801803805e-08}",1.5772063732147217,0.7748562912497339,0.7753623188405797,0.7733509933774834,0.7748562912497339,0.7748562912497339
3,Model,5,5,57,GB,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'GB', 'Enc:ENC:encoder': 'one-hot', 'GB:l2_regularization': 9.578393376861179e-05, 'GB:learning_rate': 0.276293788981713, 'GB:min_samples_leaf': 25}",3.6730797290802,0.8387268469235682,0.8333333333333334,0.832903395630429,0.8387268469235682,0.8387268469235682
4,Model,5,5,5,DTREE,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'DTREE', 'DTREE:ccp_alpha': 0.0005275886650286024, 'DTREE:criterion': 'entropy', 'DTREE:max_depth_fraction': 1.3014923972214838, 'DTREE:min_samples_leaf': 9, 'DTREE:min_samples_split': 5, 'Enc:ENC:encoder': 'one-hot'}",1.4443440437316895,0.869810517351501,0.8623188405797102,0.8621378621378621,0.869810517351501,0.869810517351501
5,Model,5,5,55,RF,"{'Div:algorithm': 'NODIV', 'Enc:algorithm': 'ENC', 'Fe:algorithm': 'NOFE', 'Pre:algorithm': 'NOPRE', 'algorithm': 'RF', 'Enc:ENC:encoder': 'one-hot', 'RF:bootstrap': False, 'RF:ccp_alpha': 0.0002673212919327691, 'RF:criterion': 'gini', 'RF:max_features': 0.29447867070174183, 'RF:min_samples_leaf': 4, 'RF:min_samples_split': 8, 'RF:n_estimators': 39}",2.400617837905884,0.8664040877155632,0.8623188405797102,0.8617307388071507,0.8664040877155631,0.8664040877155631
