,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr
0,Fusion,20,20,3,MLE,"{'ENS:size': 20, 'algorithm': 'MLE'}",2.0584089756011963,0.8057718130392549,0.8082556591211718,0.8064266689578143,0.8057718130392549,0.8057718130392549
1,Model,20,20,69,PA,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'PRE_LDA', 'algorithm': 'PA', 'PA:C': 0.010235121076796461, 'PA:average': True, 'PA:loss': 'hinge', 'PA:tol': 0.06782045943873419, 'Shared:PRE_LDA:max_component_fraction': 0.279535359414939, 'Shared:PRE_LDA:solver': 'svd', 'Shared:PRE_LDA:tol': 0.003306565671539282}",41.11267900466919,0.6958102394148906,0.6990679094540613,0.6961974110032363,0.6958102394148906,0.6958102394148906
2,Model,20,20,62,MLP,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'PCA', 'algorithm': 'MLP', 'MLP:activation': 'relu', 'MLP:alpha': 1.1781816724161968e-05, 'MLP:n_hidden_layers': 3, 'MLP:n_neurons_layer': 176, 'MLP:solver': 'sgd', 'MLP:tol': 0.0009865707479519315, 'Shared:PCA:n_components': 0.930703672538044, 'Shared:PCA:whiten': True, 'MLP:learning_rate': 'constant', 'MLP:learning_rate_init': 0.0016252895103322667, 'MLP:momentum': 0.8653837625934767, 'MLP:nesterovs_momentum': False, 'MLP:power_t': 0.5}",83.43044590950012,0.6985779384035198,0.7057256990679095,0.6995113490495838,0.6985779384035198,0.6985779384035198
3,Model,20,20,42,SVM,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'SVM', 'SVM:C': 839.7029374443644, 'SVM:gamma': 0.002240810429100248, 'SVM:kernel': 'rbf', 'SVM:tol': 1.306281408018452e-05, 'Shared:feature_importance:max_param_fraction': 0.4658867714631071}",34.1858286857605,0.7695560253699789,0.7736351531291611,0.7706977312240471,0.7695560253699788,0.7695560253699788
4,Model,20,20,66,MLP,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'MUTUAL_INFORMATION', 'algorithm': 'MLP', 'MLP:activation': 'relu', 'MLP:alpha': 0.0022460787548878656, 'MLP:n_hidden_layers': 1, 'MLP:n_neurons_layer': 38, 'MLP:solver': 'lbfgs', 'MLP:tol': 0.001283504486578576, 'Shared:MUTUAL_INFORMATION:max_param_fraction': 0.5387746435619902}",195.87851405143738,0.7343616079081196,0.7376830892143809,0.7349688745577501,0.7343616079081196,0.7343616079081196
5,Model,20,20,89,GB,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'RANDOM_OVER_SAMPLING', 'algorithm': 'GB', 'GB:l2_regularization': 0.002403778199325816, 'GB:learning_rate': 0.39987413440288877, 'GB:min_samples_leaf': 63, 'Shared:RANDOM_OVER_SAMPLING:random_state': 108, 'Shared:RANDOM_OVER_SAMPLING:sampling_strategy': 'not majority'}",129.7665078639984,0.7940403405519685,0.796271637816245,0.7944861482987868,0.7940403405519685,0.7940403405519685
6,Model,20,20,85,GB,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'RANDOM_OVER_SAMPLING', 'algorithm': 'GB', 'GB:l2_regularization': 0.003396057142057553, 'GB:learning_rate': 0.11178426545779807, 'GB:min_samples_leaf': 87, 'Shared:RANDOM_OVER_SAMPLING:random_state': 155, 'Shared:RANDOM_OVER_SAMPLING:sampling_strategy': 'all'}",112.6019537448883,0.7966009085195132,0.800266311584554,0.7977964933442467,0.7966009085195132,0.7966009085195132
7,Model,20,20,65,GB,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'feature_importance', 'algorithm': 'GB', 'GB:l2_regularization': 0.03182715350629018, 'GB:learning_rate': 0.4317230950726349, 'GB:min_samples_leaf': 125, 'Shared:feature_importance:max_param_fraction': 0.7764822618093339}",69.4786548614502,0.7862193588937776,0.7882822902796272,0.786532159885015,0.7862193588937776,0.7862193588937776
8,Model,20,20,59,GB,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'PCA', 'algorithm': 'GB', 'GB:l2_regularization': 1.0893511803720988e-09, 'GB:learning_rate': 0.1157542430185397, 'GB:min_samples_leaf': 40, 'Shared:PCA:n_components': 0.9440667899653573, 'Shared:PCA:whiten': True}",76.01793003082275,0.777948402948403,0.7802929427430093,0.778367414832025,0.777948402948403,0.777948402948403
9,Model,20,20,83,AB,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'NOUS', 'Shared:algorithm': 'PCA', 'algorithm': 'AB', 'AB:algorithm': 'SAMME.R', 'AB:learning_rate': 0.9385519139990227, 'AB:n_estimators': 98, 'Shared:PCA:n_components': 0.9592164150235978, 'Shared:PCA:whiten': False}",192.59806561470032,0.7354865436260785,0.7376830892143809,0.7356413440663278,0.7354865436260785,0.7354865436260785
