,size,true size,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr,doublefault_norm,doublefault,correlation_norm,disagreement,yulesq
0,2,2,2,WV,"{'ENS:size': 2, 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'simple'}",2.1583361625671387,0.9673472021037701,0.9718555055853765,0.9656436369451153,0.96734720210377,0.96734720210377,0.981,0.019,0.243,0.036,0.974
1,5,5,3,MLE,"{'ENS:size': 5, 'algorithm': 'MLE'}",3.349990129470825,0.9686179651371234,0.9695343101697375,0.9631073964123038,0.9686179651371234,0.9686179651371234,0.979,0.021,0.189,0.026,0.983
2,10,10,3,MLE,"{'ENS:size': 10, 'algorithm': 'MLE'}",4.54352331161499,0.9675011417837571,0.9675032641810533,0.9607511704246472,0.967501141783757,0.967501141783757,0.977,0.023,0.22,0.035,0.973
3,15,15,3,MLE,"{'ENS:size': 15, 'algorithm': 'MLE'}",5.754700183868408,0.9648602382418965,0.9659074423328013,0.9587697523609293,0.9648602382418964,0.9648602382418964,0.975,0.025,0.217,0.037,0.971
4,20,20,3,MLE,"{'ENS:size': 20, 'algorithm': 'MLE'}",6.642421245574951,0.9615088399023202,0.9624256492093428,0.9546383103690597,0.9615088399023203,0.9615088399023203,0.973,0.027,0.218,0.041,0.97
