,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr
0,1,MAMV,"{'ENS:size': 5, 'algorithm': 'MAMV'}",2.596630573272705,0.987504815992701,0.9875,0.9875809537292282,0.9921805129867046,0.9921654955799386
1,2,WV,"{'ENS:size': 5, 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'simple'}",1.93772292137146,0.9864838696640057,0.9865,0.9865719908226795,0.9915472015199407,0.9915393126647336
2,3,MLE,"{'ENS:size': 5, 'algorithm': 'MLE'}",3.8019585609436035,0.9665561291855586,0.9665,0.9666148453743999,0.979050000265716,0.9789778561522885
