,model type,k,wanted k,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr
0,Fusion,2,2,2,WV,"{'ENS:size': 2, 'algorithm': 'WV', 'WV:scorer': 'macro_recall', 'WV:weighting': 'simple'}",1.26019287109375,0.44396967784302094,0.5428571428571428,0.37882680581289163,0.6861516547781471,0.6909131123087471
1,Model,2,2,55,XT,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'smote', 'Us:algorithm': 'NOOS', 'algorithm': 'XT', 'Ovs:smote:k_neighbors': 2, 'Ovs:smote:random_state': 122, 'Ovs:smote:sampling_strategy': 'not majority', 'XT:bootstrap': False, 'XT:ccp_alpha': 0.0008636113461076233, 'XT:criterion': 'entropy', 'XT:max_depth_fraction': 1.5248775524617626, 'XT:max_features': 0.6046177027767359, 'XT:min_samples_leaf': 4, 'XT:min_samples_split': 5, 'XT:n_estimators': 93}",14.33172059059143,0.44396967784302094,0.5428571428571428,0.37882680581289163,0.6861516547781471,0.6909131123087471
2,Model,2,2,3,RF,"{'Dr:algorithm': 'NOHD', 'Enc:algorithm': 'NOEnc', 'Fil:algorithm': 'NONS', 'Fs:algorithm': 'NOSD', 'Ovs:algorithm': 'tomek_links', 'Us:algorithm': 'NOOS', 'algorithm': 'RF', 'Ovs:tomek_links:sampling_strategy': 'majority', 'RF:bootstrap': True, 'RF:ccp_alpha': 0.0008369892231309311, 'RF:criterion': 'gini', 'RF:max_features': 0.5655307399289462, 'RF:min_samples_leaf': 2, 'RF:min_samples_split': 9, 'RF:n_estimators': 137}",19.61415147781372,0.3252203552461284,0.6326530612244898,0.34899064348810244,0.6508659952396968,0.711281561794275
