,size,true size,rid,algorithm,configuration,runtime,balanced_accuracy,accuracy,f1_macro,roc_auc_ovo,roc_auc_ovr,doublefault_norm,doublefault,correlation_norm,disagreement,yulesq
0,2,2,3,MLE,"{'ENS:size': 2, 'algorithm': 'MLE'}",2.7602732181549072,0.9711570157918905,0.9718555055853765,0.9658982434729779,0.9711570157918903,0.9711570157918903,0.981,0.019,0.176,0.019,0.99
1,5,5,3,MLE,"{'ENS:size': 5, 'algorithm': 'MLE'}",3.489112138748169,0.969024138979528,0.9701146090236472,0.9637888564713064,0.969024138979528,0.969024138979528,0.98,0.02,0.187,0.024,0.984
2,10,10,3,MLE,"{'ENS:size': 10, 'algorithm': 'MLE'}",4.4553070068359375,0.96729743600957,0.9689540113158277,0.9623604600984164,0.96729743600957,0.96729743600957,0.978,0.022,0.201,0.029,0.98
3,15,15,3,MLE,"{'ENS:size': 15, 'algorithm': 'MLE'}",5.65313196182251,0.9656218915530281,0.966777890613666,0.959798945958704,0.965621891553028,0.965621891553028,0.977,0.023,0.205,0.032,0.976
4,20,20,3,MLE,"{'ENS:size': 20, 'algorithm': 'MLE'}",6.643192291259766,0.962372036674053,0.9634411722036849,0.9558322226778757,0.962372036674053,0.962372036674053,0.974,0.026,0.21,0.036,0.974
